file_name,TP,FP,TN,FN,TPR,FPR,TNR,FNR,ACC,sensitivity,specificity,weighted_acc,real_x,real_y,real_radius
f02_3572_0.7854_-0.5890,16,65,9486,33,0.32653061224489793,0.006805570097372003,0.993194429902628,0.673469387755102,0.9897916666666666,0.32653061224489793,0.993194429902628,0.659862521073763,42.78786778450012,71.97717189788818,4.634264651155245
f02_3576_0.5890_0.3927,42,39,9448,71,0.37168141592920356,0.004110888584378624,0.9958891114156214,0.6283185840707964,0.9885416666666667,0.37168141592920356,0.9958891114156214,0.6837852636724124,44.09309267997742,41.63872718811035,6.209370044412777
f02_3577_0.5890_0.1963,7,42,9477,74,0.08641975308641975,0.00441222817522849,0.9955877718247715,0.9135802469135802,0.9879166666666667,0.08641975308641975,0.9955877718247715,0.5410037624555957,43.24332118034363,47.82612204551697,5.993043107329994
f02_3578_0.5890_-0.0000,18,31,9488,63,0.2222222222222222,0.0032566446055257905,0.9967433553944742,0.7777777777777778,0.9902083333333334,0.2222222222222222,0.9967433553944742,0.6094827888083483,42.753169536590576,54.13432717323303,5.524644765815536
f02_3579_0.5890_-0.1963,28,53,9466,53,0.345679012345679,0.00556781174493119,0.9944321882550688,0.654320987654321,0.9889583333333334,0.345679012345679,0.9944321882550688,0.6700556003003739,43.60538959503174,60.439560413360596,5.978298808653388
f02_3580_0.5890_-0.3927,18,31,9488,63,0.2222222222222222,0.0032566446055257905,0.9967433553944742,0.7777777777777778,0.9902083333333334,0.2222222222222222,0.9967433553944742,0.6094827888083483,44.687721729278564,66.48094654083252,5.085034357565558
f02_3581_0.5890_-0.5890,29,84,9435,52,0.35802469135802467,0.00882445635045698,0.991175543649543,0.6419753086419753,0.9858333333333333,0.35802469135802467,0.991175543649543,0.6746001175037838,46.92462921142578,72.01454401016235,5.235979909987483
f02_3585_0.3927_0.3927,81,116,9403,0,1.0,0.012186154007773925,0.9878138459922261,0.0,0.9879166666666667,1.0,0.9878138459922261,0.993906922996113,49.16997671127319,41.689839363098145,5.87828379053647
f02_3586_0.3927_0.1963,13,36,9451,100,0.11504424778761062,0.0037946663855802677,0.9962053336144198,0.8849557522123894,0.9858333333333333,0.11504424778761062,0.9962053336144198,0.5556247907010152,48.7434196472168,47.807360887527466,6.804824618957895
f02_3587_0.3927_-0.0000,70,11,9476,43,0.6194690265486725,0.0011594813955939707,0.998840518604406,0.3805309734513274,0.994375,0.6194690265486725,0.998840518604406,0.8091547725765393,48.62972378730774,54.14810299873352,6.169762846011373
f02_3588_0.3927_-0.1963,55,198,9321,26,0.6790123456790124,0.020800504254648598,0.9791994957453514,0.32098765432098764,0.9766666666666667,0.6790123456790124,0.9791994957453514,0.8291059207121818,48.68687033653259,60.44844388961792,5.3122404231678715
f02_3589_0.3927_-0.3927,58,23,9496,23,0.7160493827160493,0.0024162201911965544,0.9975837798088034,0.2839506172839506,0.9952083333333334,0.7160493827160493,0.9975837798088034,0.8568165812624264,49.954389333724976,66.5177071094513,5.8901316707460705
f02_3590_0.3927_-0.5890,0,113,9438,49,0.0,0.011831221861585174,0.9881687781384149,1.0,0.983125,0.0,0.9881687781384149,0.49408438906920743,51.199352741241455,72.03367710113525,4.879495470012687
f02_3594_0.1963_0.3927,78,35,9416,71,0.5234899328859061,0.0037033118188551477,0.9962966881811448,0.47651006711409394,0.9889583333333334,0.5234899328859061,0.9962966881811448,0.7598933105335255,55.255234241485596,41.76327466964722,7.049518479390613
f02_3595_0.1963_0.1963,49,0,9451,100,0.3288590604026846,0.0,1.0,0.6711409395973155,0.9895833333333334,0.3288590604026846,1.0,0.6644295302013423,54.81922149658203,47.80331611633301,7.181504877998002
f02_3596_0.1963_-0.0000,64,49,9438,49,0.5663716814159292,0.005164962580373142,0.9948350374196269,0.4336283185840708,0.9897916666666666,0.5663716814159292,0.9948350374196269,0.780603359417778,54.62834715843201,54.14917588233948,6.72966434761476
f02_3597_0.1963_-0.1963,19,130,9389,62,0.2345679012345679,0.01365689673285009,0.9863431032671499,0.7654320987654321,0.98,0.2345679012345679,0.9863431032671499,0.6104555022508589,54.730204343795776,60.445557832717896,5.995249438097423
f02_3598_0.1963_-0.3927,40,41,9478,41,0.49382716049382713,0.004307175123437336,0.9956928248765626,0.5061728395061729,0.9914583333333333,0.49382716049382713,0.9956928248765626,0.7447599926851949,55.31570076942444,66.39060974121094,5.519798491171367
f02_3599_0.1963_-0.5890,20,29,9458,93,0.17699115044247787,0.0030568145883841046,0.9969431854116159,0.8230088495575221,0.9872916666666667,0.17699115044247787,0.9969431854116159,0.5869671679270468,56.73081040382385,72.01029181480408,6.438392253859971
f02_3604_-0.0000_0.1963,2,111,9340,147,0.013422818791946308,0.011744788911226326,0.9882552110887737,0.9865771812080537,0.973125,0.013422818791946308,0.9882552110887737,0.50083901494036,61.331923604011536,47.776901721954346,7.92519065248135
f02_3605_-0.0000_-0.0000,43,38,9449,70,0.3805309734513274,0.004005481184779171,0.9959945188152208,0.6194690265486725,0.98875,0.3805309734513274,0.9959945188152208,0.6882627461332741,60.72602331638336,54.09885764122009,6.191521315599079
